brand_name,model,prices,rating,has_5g,has_nfc,has_ir_blaster,processor_manufacturer,processor_brand,processor_model,cpu_core_type,num_core,cpu_clock_speed_ghz,ram_capacity,internal_memory,battrey_capacity,fast_charging_watt,fast_charging_supported,display_size_inches,display_resolution_width_px,display_resolution_height_px,display_refresh_rate_hz,display_notch_type,rear_camera_count,rear_cam_1,front_camers_count,front_camera_primary,memory_card_supported,memory_card_slot_type,memory_card_max_gb,os
oppo,OPPO Reno 12 Pro 5G (12GB RAM + 512GB),47999,75.0,True,True,True,MediaTek,Dimensity,Dimensity 7300 Energy,Octa Core,8.0,2.5,12.0,512.0,5000,80.0,True,6.7,1080,2412,120.0,Punch Hole,3.0,50,1,50,Yes,Hybrid,,Android
oppo,Oppo F25 Pro 5G,28999,66.0,True,False,False,MediaTek,Dimensity,Dimensity 7050,Octa Core,8.0,2.6,8.0,128.0,5000,67.0,True,6.7,1080,2412,120.0,Punch Hole,3.0,64,1,32,Yes,Hybrid,2048.0,Android
xiaomi,Xiaomi 14,74999,,True,True,True,Qualcomm,Snapdragon,Snapdragon 8 Gen3,Octa Core,8.0,3.3,12.0,512.0,4610,90.0,True,6.36,1200,2670,120.0,Punch Hole,3.0,50,1,32,No,Not Supported,,Android
oppo,OPPO Reno 11 Pro 5G,37999,72.0,True,True,True,MediaTek,Dimensity,Dimensity 8200,Octa Core,8.0,3.1,12.0,256.0,4600,80.0,True,6.7,1080,2412,120.0,Punch Hole,3.0,50,1,32,,,,Android
oppo,OPPO Reno 11 (8GB RAM + 256GB),33900,71.0,True,True,True,MediaTek,Dimensity,Dimensity 7050,Octa Core,8.0,2.6,8.0,256.0,5000,67.0,True,6.7,1080,2412,120.0,Punch Hole,3.0,50,1,32,Yes,Hybrid,2048.0,Android
samsung,Samsung Galaxy A15 5G,26990,57.0,True,False,False,MediaTek,Dimensity,Dimensity 6100 Plus,Octa Core,8.0,2.2,8.0,128.0,5000,25.0,True,6.5,1080,2340,90.0,Water Drop Notch,3.0,50,1,13,Yes,Hybrid,1024.0,Android
oneplus,OnePlus 11R 5G (18GB RAM + 512GB),45999,71.0,True,True,True,Qualcomm,Snapdragon,Snapdragon 8+ Gen1,Octa Core,8.0,3.2,18.0,512.0,5000,100.0,True,6.74,1240,2772,120.0,Punch Hole,3.0,50,1,16,,,,Android
samsung,Samsung Galaxy Z Fold 5,154999,,True,True,False,Qualcomm,Snapdragon,Snapdragon 8 Gen 2,Octa Core,8.0,3.36,12.0,256.0,4400,25.0,True,7.6,1812,2176,120.0,Punch Hole,3.0,50,2,10,,,,Android
nokia,Nokia 110 4G 2023,2599,,False,False,False,,,,,,,128.0,48.0,1450,,False,1.8,120,160,,,1.0,0.3,1,,Yes,Dedicated,32.0,Other
oppo,Oppo Reno 10 Pro Plus,44999,74.0,True,True,True,Qualcomm,Snapdragon,Snapdragon 8+ Gen1,Octa Core,8.0,3.2,12.0,256.0,4700,100.0,True,6.74,1240,2772,120.0,Punch Hole,3.0,64,1,32,,,,Android
samsung,Samsung Galaxy F54,35999,68.0,True,True,False,Samsung,Exynos,Exynos 1380,Octa Core,8.0,2.4,8.0,256.0,6000,25.0,True,6.7,1080,2408,120.0,Punch Hole,3.0,108,1,32,Yes,Hybrid,1024.0,Android
xiaomi,Xiaomi Redmi Note 12 Pro 5G,25599,62.0,True,False,True,MediaTek,Dimensity,Dimensity 1080,Octa Core,8.0,2.6,6.0,128.0,5000,67.0,True,6.67,1080,2400,120.0,Punch Hole,3.0,50,1,16,,,,Android
xiaomi,Xiaomi Redmi K50i 5G,19500,63.0,True,False,True,MediaTek,Dimensity,Dimensity  8100,Octa Core,8.0,2.85,6.0,128.0,5080,67.0,True,6.6,1080,2460,144.0,Punch Hole,3.0,64,1,16,,,,Android
