index,brand_name,model,prices,rating,sim,has_5g,has_nfc,has_ir_blaster,processor,processor_model,cpu_core_type,cpu_clock_speed_ghz,ram,ram_capacity,internal_memory,battery,battrey_capacity,fast_charging_watt,fast_charging_supported,display,display_size_inches,display_resolution_width_px,display_resolution_height_px,display_refresh_rate_hz,display_notch_type,camera,rear_camera,rear_camera_count,rear_cam_1,rear_cam_2,rear_cam_3,rear_cam_4,rear_cam_5,rear_camera_special_feature,front_camera,front_camers_count,front_camera_primary,front_camera_dual,memory_card_supported,memory_card_slot_type,memory_card_max_gb,card,os,operating_system,num_core,processor_brand,processor_manufacturer
919,coolpad,Coolpad Cool 20s 5G,14999,,"Dual Sim, 5G, Wi-Fi",True,False,False,"Dimensity 700, Octa Core, 2.2 GHz Processor",Dimensity 700,Octa Core,2.2,"6 GB RAM, 128 GB inbuilt",6.0,128.0,4500 mAh Battery with 18W Fast Charging,4500,18.0,True,"6.58 inches, 1080 x 2408 px Display",6.58,1080,2408,,,50 MP + 2 MP Dual Rear & 8 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 8 MP Front Camera,1,8,,Yes,Dedicated,,Memory Card Supported,Android v13,Android,8.0,Dimensity,MediaTek
920,peace,Peace Nova 13,9999,,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Helio, Single Core, 1.7 GHz Processor",Helio,Single Core,1.7,"4 GB RAM, 64 GB inbuilt",4.0,64.0,5000 mAh Battery,5000,,False,"6.85 inches, 1640 x 720 px Display with Punch Hole",6.85,1640,720,,Punch Hole,20 MP Rear Camera,20 MP Rear Camera,1.0,20,,,,,,,1,,,Yes,Dedicated,128.0,"Memory Card Supported, upto 128 GB",Android 14,Android,1.0,Helio,MediaTek
921,coolpad,Coolpad CP12 Neo Plus,9000,,"Dual Sim, 4G, Wi-Fi",False,False,False,"Unisoc SC9863A1, Octa Core, 1.6 GHz Processor",Unisoc SC9863A1,Octa Core,1.6,"3 GB RAM, 64 GB inbuilt",3.0,64.0,5000 mAh Battery with 10W Fast Charging,5000,10.0,True,"6.56 inches, 720 x 1612 px, 120 Hz Display with Water Drop Notch",6.56,720,1612,120.0,Water Drop Notch,13 MP Rear & 5 MP Front Camera,13 MP Rear ,1.0,13,,,,,, 5 MP Front Camera,1,5,,Yes,Dedicated,,Memory Card Supported,Android v15,Android,8.0,Unisoc,Unisoc
922,ringme,Ringme Bold 17 Mini,6999,,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Helio, Quad Core, 1.8 GHz Processor",Helio,Quad Core,1.8,"3 GB RAM, 32 GB inbuilt",3.0,32.0,2000 mAh Battery,2000,,False,"3.75 inches, 412 x 960 px Display",3.75,412,960,,,8 MP Rear Camera,8 MP Rear Camera,1.0,8,,,,,,,1,,,,,,,Android v10,Android,4.0,Helio,MediaTek
923,itel,Itel Zeno 100 Pro,9199,,"Dual Sim, 4G, Wi-Fi, IR Blaster",False,False,True,"Unisoc T7100, Octa Core Processor",Unisoc T7100,Octa Core,,"3 GB RAM, 64 GB inbuilt",3.0,64.0,5000 mAh Battery with 10W Fast Charging,5000,10.0,True,"6.6 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",6.6,720,1612,90.0,Water Drop Notch,8 MP Rear & 5 MP Front Camera,8 MP Rear ,1.0,8,,,,,, 5 MP Front Camera,1,5,,Yes,Dedicated,,Memory Card Supported,Android 15 Go Edition,Android,8.0,Unisoc,Unisoc
924,ai+,Ai+ Pulse 2 (4GB RAM + 128GB),11499,,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Unisoc T7250, Octa Core, 1.8 GHz Processor",Unisoc T7250,Octa Core,1.8,"4 GB RAM, 128 GB inbuilt",4.0,128.0,6000 mAh Battery with 10W Fast Charging,6000,10.0,True,"6.75 inches, 720 x 1600 px, 120 Hz Display with Water Drop Notch",6.75,720,1600,120.0,Water Drop Notch,50 MP Dual Rear & 8 MP Front Camera,50 MP Dual Rear ,2.0,50,,,,,, 8 MP Front Camera,1,8,,Yes,Dedicated,1024.0,"Memory Card Supported, upto 1 TB",Android v16,Android,8.0,Unisoc,Unisoc
925,coolpad,Coolpad Cool 30i,12000,,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Helio G37, Octa Core, 2.3 GHz Processor",Helio G37,Octa Core,2.3,"6 GB RAM, 256 GB inbuilt",6.0,256.0,4500 mAh Battery,4500,,False,"6.56 inches, 720 x 1600 px Display with Water Drop Notch",6.56,720,1600,,Water Drop Notch,50 MP Dual Rear & 8 MP Front Camera,50 MP Dual Rear ,2.0,50,,,,,, 8 MP Front Camera,1,8,,Yes,Hybrid,,Memory Card (Hybrid),Android v13,Android,8.0,Helio,MediaTek
926,hmd,HMD Vibe 2 5G (4GB RAM + 128GB),17999,50.0,"Dual Sim, 5G, VoLTE, Wi-Fi",True,False,False,"Unisoc T8200, Octa Core, 2.3 GHz Processor",Unisoc T8200,Octa Core,2.3,"4 GB RAM, 128 GB inbuilt",4.0,128.0,6000 mAh Battery with 18W Fast Charging,6000,18.0,True,"6.75 inches, 720 x 1600 px, 120 Hz Display with Water Drop Notch",6.75,720,1600,120.0,Water Drop Notch,50 MP Dual Rear & 8 MP Front Camera,50 MP Dual Rear ,2.0,50,,,,,, 8 MP Front Camera,1,8,,Yes,Hybrid,1024.0,"Memory Card (Hybrid), upto 1 TB",Android v16,Android,8.0,Unisoc,Unisoc
927,gamma,Gamma K2 Mini 2,949,,Dual Sim,False,False,False,1 MHz Processor,,,0.001,"32 MB RAM, 32 MB inbuilt",32.0,32.0,1000 mAh Battery,1000,,False,"0.66 inches, 128 x 160 px Display",0.66,128,160,,,No Rear Camera,No Rear Camera,0.0,,,,,,,,1,,,,,,,v40 proprietary,Mocor,,,
928,itel,Itel Zeno 200,10399,,"Dual Sim, 4G, Wi-Fi, IR Blaster",False,False,True,"Unisoc T7100, Octa Core, 1.8 GHz Processor",Unisoc T7100,Octa Core,1.8,"4 GB RAM, 128 GB inbuilt",4.0,128.0,5000 mAh Battery with Fast Charging,5000,,True,"6.75 inches, 720 x 1600 px, 120 Hz Display with Water Drop Notch",6.75,720,1600,120.0,Water Drop Notch,13 MP Rear & Main Front Camera,13 MP Rear ,1.0,13,,,,,, Main Front Camera,1,Main Front Camera,,Yes,Dedicated,,Memory Card Supported,Android v15,Android,8.0,Unisoc,Unisoc
929,jmax,Jmax X4 4G,2499,,Dual Sim,False,False,False,225 MHz Processor,,,0.225,"32 MB RAM, 32 MB inbuilt",32.0,32.0,3000 mAh Battery,3000,,False,"2.8 inches, 320 x 480 px Display",2.8,320,480,,,0.3 MP Rear Camera,0.3 MP Rear Camera,1.0,0.3,,,,,,,1,,,Yes,Dedicated,,Memory Card Supported,,Mocor,,,
930,lava,Lava Bold N2 Lite,9299,,"Dual Sim, 4G, VoLTE, Wi-Fi",False,False,False,"Unisoc SC9863A, Octa Core Processor",Unisoc SC9863A,Octa Core,,"3 GB RAM, 64 GB inbuilt",3.0,64.0,5000 mAh Battery with 10W Fast Charging,5000,10.0,True,"6.75 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",6.75,720,1600,90.0,Water Drop Notch,13 MP Dual Rear & 5 MP Front Camera,13 MP Dual Rear ,2.0,13,,,,,, 5 MP Front Camera,1,5,,Yes,Dedicated,512.0,"Memory Card Supported, upto 512 GB",Android 15 Go Edition,Android,8.0,Unisoc,Unisoc
931,snexian,Snexian Rock X Flip,1299,,Dual Sim,False,False,False,"Unisoc, Single Core, 1 MHz Processor",Unisoc,Single Core,,"32 MB RAM, 32 MB inbuilt",32.0,32.0,1500 mAh Battery,1500,,False,"1.8 inches, 120 x 240 px Display",1.8,120,240,,,0.3 MP Rear Camera,0.3 MP Rear Camera,1.0,0.3,,,,,,,1,,,,,,,Symbian v0,Mocor,1.0,Unisoc,Unisoc
932,mtr,MTR M10,900,,Dual Sim,False,False,False,256 MHz Processor,,,0.256,"32 MB RAM, 32 MB inbuilt",32.0,32.0,700 mAh Battery,700,,False,"0.66 inches, 120 x 240 px Display",0.66,120,240,,,No Rear Camera,No Rear Camera,0.0,,,,,,,,1,,,,,,,,Mocor,,,
933,snexian,Snexian Guru Two,899,,Dual Sim,False,False,False,,,,,"32 MB RAM, 32 MB inbuilt",32.0,32.0,2500 mAh Battery,2500,,False,"2.4 inches, 320 x 240 px Display",2.4,320,240,,,0.3 MP Rear Camera,0.3 MP Rear Camera,1.0,0.3,,,,,,,1,,,Yes,Dedicated,16.0,"Memory Card Supported, upto 16 GB",Symbian v30,Mocor,,,
934,lava,Lava A1 Tejas,1154,,Dual Sim,False,False,False,,,,,"4 MB RAM, 4 MB inbuilt",4.0,4.0,1000 mAh Battery with Fast Charging,1000,,True,"2 inches, 160 x 128 px Display",2.0,160,128,,,Main Rear Camera,Main Rear Camera,1.0,,,,,,,,1,,,Yes,Dedicated,32.0,"Memory Card Supported, upto 32 GB",,Mocor,,,
935,ikall,iKall I2 New,2182,,"Dual Sim, 4G",False,False,False,1.4 MHz Processor,,,0.001,"32 MB RAM, 32 MB inbuilt",32.0,32.0,2500 mAh Battery,2500,,False,"2.8 inches, 240 x 320 px Display",2.8,240,320,,,1 MP Rear Camera,1 MP Rear Camera,1.0,1,,,,,,,1,,,Yes,Dedicated,8.0,"Memory Card Supported, upto 8 GB",,Mocor,,,
936,itel,itel it2165c,1025,,Dual Sim,False,False,False,"Single Core, 308 MHz Processor",,Single Core,0.308,"32 MB RAM, 32 MB inbuilt",32.0,32.0,1200 mAh Battery,1200,,False,"2 inches, 120 x 240 px Display",2.0,120,240,,,No Rear Camera,No Rear Camera,0.0,,,,,,,,1,,,Yes,Dedicated,32.0,"Memory Card Supported, upto 32 GB",,Mocor,1.0,,
937,hmd,HMD 100,999,,Dual Sim,False,False,False,Unisoc 6533G,Unisoc 6533G,,,"8 MB RAM, 4 MB inbuilt",8.0,4.0,800 mAh Battery with 2.75W Fast Charging,800,2.75,True,"1.77 inches, 160 x 128 px Display",1.77,160,128,,,No Rear Camera,No Rear Camera,0.0,,,,,,,,1,,,,,,,S30+,S30+ / Feature OS,,Unisoc,Unisoc
938,gamma,Gamma K2 Tiny,999,,Dual Sim,False,False,False,1 MHz Processor,,,0.001,"32 MB RAM, 32 MB inbuilt",32.0,32.0,1000 mAh Battery,1000,,False,"0.66 inches, 120 x 360 px Display",0.66,120,360,,,No Rear Camera,No Rear Camera,0.0,,,,,,,,1,,,,,,,,Mocor,,,
939,peace,Peace Nova 11 4G,8749,,"Dual Sim, 4G, Wi-Fi",False,False,False,Helio 6739,Helio 6739,,,"4 GB RAM, 64 GB inbuilt",4.0,64.0,2000 mAh Battery,2000,,False,6.56 inches Display,6.56,,,,,20 MP Rear & 5 MP Front Camera,20 MP Rear ,1.0,20,,,,,, 5 MP Front Camera,1,5,,Yes,Dedicated,128.0,"Memory Card Supported, upto 128 GB",,Android,,Helio,MediaTek
940,lava,Lava A1 Josh Bol,1044,,Dual Sim,False,False,False,,,,,"4 MB RAM, 4 MB inbuilt",4.0,4.0,1000 mAh Battery with Fast Charging,1000,,True,"2 inches, 160 x 128 px Display",2.0,160,128,,,,,,,,,,,,,1,,,Yes,Dedicated,32.0,"Memory Card Supported, upto 32 GB",,Mocor,,,
941,philips,Philips E2104,1086,,Dual Sim,False,False,False,,,,,"32 MB RAM, 32 MB inbuilt",32.0,32.0,1420 mAh Battery,1420,,False,2 inches Display,2.0,,,,,Digital Video Rear Camera,Digital Video Rear Camera,1.0,,,,,,,,1,,,Yes,Dedicated,32.0,"Memory Card Supported, upto 32 GB",,Mocor,,,
942,itel,itel It9120,2200,,Dual Sim,False,False,False,1 GHz Processor,,,1.0,"64 MB RAM, 128 MB inbuilt",64.0,128.0,1200 mAh Battery,1200,,False,"2.4 inches, 640 x 480 px Display",2.4,640,480,,,0.3 MP Rear Camera,0.3 MP Rear Camera,1.0,0.3,,,,,,,1,,,Yes,Dedicated,,Memory Card Supported,,Mocor,,,
943,itel,itel it2181,1199,,Dual Sim,False,False,False,"Single Core, 1 MHz Processor",,Single Core,0.001,"4 MB RAM, 4 MB inbuilt",4.0,4.0,1200 mAh Battery with Fast Charging,1200,,True,"2 inches, 240 x 320 px Display",2.0,240,320,,,0.3 MP Rear Camera,0.3 MP Rear Camera,1.0,0.3,,,,,,,1,,,Yes,Dedicated,32.0,"Memory Card Supported, upto 32 GB",,Mocor,1.0,,
